Date,Open,High,Low,Close,Volume,Adj Close
2017-03-24,18.370001,18.68,18.34,18.469999,3294900,18.469999
2017-03-23,18.42,18.57,18.35,18.389999,2568700,18.389999
2017-03-22,18.57,18.629999,18.24,18.379999,3468600,18.379999
2017-03-21,19.049999,19.110001,18.48,18.530001,7012700,18.530001
2017-03-20,19.41,19.450001,19.07,19.15,4083200,19.15
2017-03-17,19.41,19.57,19.290001,19.43,9916400,19.43
2017-03-16,19.16,19.360001,19.129999,19.309999,4522400,19.309999
2017-03-15,19.00,19.26,18.799999,19.139999,4022200,19.139999
2017-03-14,19.120001,19.27,18.92,18.93,3482500,18.93
2017-03-13,19.040001,19.25,18.99,19.200001,2807600,19.200001
2017-03-10,18.719999,19.299999,18.709999,19.10,3664100,19.10
2017-03-09,18.780001,18.85,18.549999,18.690001,1952300,18.690001
2017-03-08,18.879999,18.940001,18.639999,18.74,2988600,18.74
2017-03-07,19.00,19.00,18.50,18.799999,4220500,18.799999
2017-03-06,18.629999,18.959999,18.610001,18.93,4267000,18.93
2017-03-03,18.75,18.799999,18.33,18.74,4576600,18.74
2017-03-02,19.35,19.35,18.700001,18.709999,5559200,18.709999
2017-03-01,18.879999,19.43,18.860001,19.370001,5680700,19.370001
2017-02-28,18.799999,19.00,18.709999,18.780001,3154500,18.780001
2017-02-27,18.530001,18.76,18.450001,18.75,3356600,18.75
2017-02-24,18.74,18.879999,18.379999,18.66,3413100,18.66
2017-02-23,18.91,19.030001,18.75,18.82,3969400,18.695
2017-02-22,19.200001,19.27,18.75,18.84,4108200,18.714867
2017-02-21,19.17,19.360001,19.059999,19.16,4355000,19.032742
2017-02-17,18.76,19.07,18.67,18.889999,4209800,18.764535
2017-02-16,19.83,19.91,18.67,18.690001,7642400,18.565864
2017-02-15,19.389999,19.860001,19.370001,19.77,8111700,19.638691
2017-02-14,18.42,19.280001,18.42,19.27,9942300,19.142012
2017-02-13,18.280001,18.50,18.25,18.370001,8591900,18.24799
2017-02-10,18.35,18.60,18.26,18.280001,15835300,18.158587
2017-02-09,20.040001,20.040001,18.120001,18.32,22629200,18.198321
2017-02-08,19.52,20.09,19.459999,20.040001,6080400,19.906898
2017-02-07,19.370001,19.620001,19.370001,19.52,4219900,19.390351
2017-02-06,19.32,19.40,19.190001,19.280001,6671400,19.151946
2017-02-03,19.40,19.549999,19.27,19.40,3290900,19.271147
2017-02-02,18.940001,19.41,18.92,19.33,4123700,19.201613
2017-02-01,19.120001,19.25,18.629999,18.940001,5204800,18.814204
