Date,Open,High,Low,Close,Volume,Adj Close
2017-03-24,57.580002,57.73,57.299999,57.439999,1414600,57.439999
2017-03-23,57.41,58.00,57.25,57.599998,1764100,57.599998
2017-03-22,57.23,57.59,56.540001,56.91,1698200,56.91
2017-03-21,58.029999,58.740002,57.040001,57.09,3435900,57.09
2017-03-20,59.220001,59.34,59.00,59.00,1215800,59.00
2017-03-17,59.080002,59.330002,58.84,59.200001,1714200,59.200001
2017-03-16,59.200001,59.27,58.57,58.830002,1475100,58.830002
2017-03-15,59.040001,59.610001,58.950001,59.360001,1142300,59.360001
2017-03-14,59.07,59.209999,58.779999,58.950001,1133000,58.950001
2017-03-13,59.16,59.25,58.610001,59.049999,2412600,59.049999
2017-03-10,59.360001,59.439999,58.98,59.189999,1199100,59.189999
2017-03-09,58.650002,59.16,58.599998,59.029999,969600,59.029999
2017-03-08,58.849998,58.900002,58.009998,58.66,2059800,58.66
2017-03-07,59.25,59.560001,59.060001,59.09,1355300,59.09
2017-03-06,59.240002,59.580002,59.029999,59.290001,1205700,59.290001
2017-03-03,59.939999,59.939999,59.41,59.540001,1472100,59.540001
2017-03-02,59.41,59.91,59.32,59.830002,1869600,59.830002
2017-03-01,59.529999,59.889999,59.16,59.490002,1484400,59.490002
2017-02-28,58.98,59.48,58.880001,59.349998,2234500,59.349998
2017-02-27,59.099998,59.25,58.82,58.970001,1095400,58.970001
2017-02-24,59.240002,59.689999,59.00,59.110001,1569200,59.110001
2017-02-23,59.349998,59.57,58.950001,59.060001,1621600,59.060001
2017-02-22,58.75,59.610001,58.639999,59.169998,2503400,59.169998
2017-02-21,58.48,59.049999,58.119999,58.950001,4776000,58.950001
2017-02-17,59.00,60.490002,57.549999,58.48,6119300,58.48
2017-02-16,63.220001,63.869999,61.860001,62.549999,3360000,62.549999
2017-02-15,63.040001,63.619999,62.610001,63.450001,1881200,63.450001
2017-02-14,63.25,63.439999,62.919998,63.029999,1364400,63.029999
2017-02-13,63.240002,63.529999,63.02,63.43,1337300,63.43
2017-02-10,63.700001,63.790001,63.119999,63.27,1282800,63.27
2017-02-09,63.400002,64.230003,63.400002,63.84,1429900,63.84
2017-02-08,63.169998,63.759998,63.080002,63.400002,1209600,63.400002
2017-02-07,62.889999,63.470001,62.720001,63.23,1150800,63.23
2017-02-06,63.290001,63.490002,62.330002,62.599998,1382900,62.599998
2017-02-03,63.490002,64.040001,63.09,63.279999,1390000,63.279999
2017-02-02,62.790001,63.540001,62.709999,63.16,1028100,63.16
2017-02-01,62.110001,62.779999,62.110001,62.490002,1768400,62.490002
2017-01-31,62.439999,62.900002,61.91,62.23,2401100,62.23
2017-01-30,62.610001,63.00,62.209999,62.380001,1547300,62.380001
2017-01-27,62.900002,62.98,62.34,62.580002,1082500,62.580002
2017-01-26,63.029999,63.16,62.299999,62.619999,1283100,62.619999
2017-01-25,63.290001,63.50,62.720001,63.099998,1126200,63.099998
2017-01-24,63.07,63.459999,62.799999,63.299999,1331000,63.299999
2017-01-23,62.810001,63.279999,62.619999,63.119999,1452200,63.119999
2017-01-20,62.490002,63.259998,62.330002,62.84,1212500,62.84
2017-01-19,62.110001,62.310001,61.889999,62.240002,964700,62.240002
2017-01-18,62.049999,62.389999,61.900002,62.290001,1098900,62.290001
2017-01-17,62.060001,62.419998,61.689999,62.09,1899300,62.09
2017-01-13,61.419998,61.810001,61.049999,61.720001,1197100,61.720001
2017-01-12,60.349998,62.16,60.259998,61.57,2478300,61.57
2017-01-11,59.869999,60.490002,59.43,60.150002,2322600,60.150002
2017-01-10,60.049999,60.169998,59.73,60.009998,1561400,60.009998
2017-01-09,60.299999,60.34,59.540001,59.75,1253400,59.75
2017-01-06,60.810001,61.09,60.57,60.700001,888500,60.350002
2017-01-05,61.02,61.189999,60.57,60.93,1488500,60.578676
2017-01-04,60.73,61.450001,60.669998,61.060001,1257500,60.707927
2017-01-03,60.599998,60.950001,60.279999,60.639999,1185400,60.290347
2016-12-30,60.93,61.09,60.330002,60.470001,1204500,60.121329
2016-12-29,60.560001,61.02,60.48,60.950001,940200,60.598561
2016-12-28,60.509998,60.84,60.299999,60.529999,860000,60.180981
2016-12-27,60.25,60.73,60.220001,60.490002,884500,60.141214
2016-12-23,60.209999,60.32,59.889999,60.279999,690000,59.932422
2016-12-22,60.209999,60.50,59.889999,60.209999,969400,59.862826
2016-12-21,59.650002,60.709999,59.580002,60.209999,1139000,59.862826
2016-12-20,59.310001,60.25,59.310001,60.130001,1611700,59.783289
2016-12-19,59.84,60.049999,59.52,59.82,1079700,59.475076
2016-12-16,59.849998,60.310001,59.279999,59.529999,2295500,59.186747
2016-12-15,58.82,59.810001,58.689999,59.459999,2161200,59.117151
2016-12-14,59.549999,60.419998,58.869999,59.099998,2040400,58.759226
2016-12-13,59.450001,60.049999,59.389999,59.990002,1571800,59.644097
2016-12-12,59.060001,59.610001,58.790001,59.360001,1525300,59.017729
