Date,Open,High,Low,Close,Volume,Adj Close
2017-03-24,46.209999,46.540001,45.419998,45.650002,1007500,45.650002
2017-03-23,45.91,46.360001,45.77,46.080002,879500,46.080002
2017-03-22,45.389999,46.18,45.360001,45.950001,1633100,45.950001
2017-03-21,46.98,47.16,45.700001,45.810001,1225400,45.62
2017-03-20,46.98,47.009998,46.490002,46.779999,873400,46.585975
2017-03-17,47.040001,47.130001,46.509998,46.990002,1332500,46.795106
2017-03-16,47.279999,47.52,46.490002,46.919998,1103100,46.725393
2017-03-15,46.310001,47.509998,45.950001,47.18,1726200,46.984317
2017-03-14,45.759998,45.919998,44.709999,45.490002,1811700,45.301328
2017-03-13,46.049999,46.630001,45.880001,46.220001,1020900,46.0283
2017-03-10,45.529999,46.130001,45.50,46.00,1398600,45.809211
2017-03-09,45.849998,45.939999,44.779999,45.220001,2575700,45.032447
2017-03-08,46.07,46.369999,45.799999,45.970001,2219500,45.779337
2017-03-07,46.220001,46.490002,45.880001,46.00,1186700,45.809211
2017-03-06,46.040001,46.43,45.939999,46.150002,1071100,45.95859
2017-03-03,47.09,47.279999,46.369999,46.52,1005400,46.327055
2017-03-02,47.950001,48.16,46.93,47.029999,1682800,46.834938
2017-03-01,47.200001,48.380001,47.200001,48.09,1465100,47.890543
2017-02-28,47.779999,47.970001,46.32,46.450001,1587100,46.257345
2017-02-27,47.66,48.02,47.27,47.939999,1061300,47.741163
2017-02-24,46.349998,47.73,46.00,47.720001,2410700,47.522078
2017-02-23,48.889999,49.07,46.720001,46.779999,2350500,46.585975
2017-02-22,48.110001,48.75,47.919998,48.650002,1984700,48.448221
2017-02-21,48.200001,49.209999,48.150002,48.380001,2124100,48.179341
2017-02-17,48.50,50.029999,48.18,48.369999,5094000,48.16938
2017-02-16,51.349998,51.580002,50.529999,50.810001,2255300,50.599262
2017-02-15,50.790001,51.25,50.630001,51.200001,2007700,50.987644
2017-02-14,51.200001,51.52,50.790001,50.93,1719600,50.718764
2017-02-13,51.200001,51.82,51.200001,51.50,1410600,51.286399
2017-02-10,50.950001,51.200001,50.68,50.959999,2306200,50.748638
2017-02-09,50.869999,51.25,50.560001,50.68,1463400,50.4698
2017-02-08,49.32,51.169998,49.02,50.630001,2829600,50.420009
2017-02-07,48.619999,49.650002,48.50,49.59,1881200,49.384321
2017-02-06,48.369999,48.900002,47.98,48.360001,949900,48.159423
2017-02-03,48.610001,48.860001,48.220001,48.650002,1740000,48.448221
2017-02-02,48.950001,49.099998,47.959999,48.189999,2063100,47.990126
2017-02-01,49.290001,49.860001,48.810001,49.27,1102300,49.065649
2017-01-31,50.23,50.310001,48.830002,49.16,1748200,48.956104
2017-01-30,51.380001,51.380001,49.93,50.48,1238100,50.270629
2017-01-27,51.439999,51.669998,51.23,51.439999,1159300,51.226647
2017-01-26,51.810001,52.099998,51.220001,51.540001,1447800,51.326234
2017-01-25,51.099998,51.889999,50.950001,51.849998,1469700,51.634946
2017-01-24,50.369999,51.16,50.150002,50.950001,1359900,50.738681
2017-01-23,50.59,50.709999,49.52,50.00,874700,49.792621
2017-01-20,50.669998,51.080002,50.09,50.259998,1284400,50.05154
2017-01-19,50.040001,50.689999,49.709999,50.330002,875300,50.121254
2017-01-18,49.490002,49.970001,49.189999,49.860001,638600,49.653202
2017-01-17,49.57,50.060001,49.150002,49.529999,1108800,49.324569
2017-01-13,49.310001,50.220001,49.310001,49.759998,684600,49.553614
2017-01-12,49.650002,49.650002,48.310001,49.310001,1257000,49.105484
2017-01-11,49.169998,49.709999,48.799999,49.630001,869700,49.424156
2017-01-10,48.720001,49.150002,48.299999,49.009998,510900,48.806725
2017-01-09,48.400002,48.889999,48.099998,48.509998,741100,48.308799
2017-01-06,48.880001,49.150002,48.259998,48.860001,972700,48.657349
2017-01-05,49.380001,50.00,48.470001,48.650002,1176100,48.448221
2017-01-04,49.25,49.630001,49.080002,49.560001,593400,49.354447
2017-01-03,48.610001,49.470001,48.41,49.009998,990400,48.806725
2016-12-30,48.27,48.380001,47.799999,48.049999,497400,47.850708
2016-12-29,48.419998,48.68,47.810001,48.049999,464300,47.850708
2016-12-28,49.41,49.82,48.490002,48.509998,757600,48.119587
2016-12-27,48.990002,49.599998,48.919998,49.439999,974300,49.042103
2016-12-23,49.110001,49.310001,48.779999,48.82,431700,48.427094
2016-12-22,49.369999,49.490002,49.07,49.16,822800,48.764357
2016-12-21,49.150002,49.68,48.740002,49.380001,1186300,48.982588
2016-12-20,48.73,49.209999,48.389999,49.07,739200,48.675082
2016-12-19,48.220001,48.549999,47.639999,48.490002,656200,48.099751
2016-12-16,49.040001,49.299999,48.119999,48.200001,1745000,47.812084
2016-12-15,49.080002,49.470001,48.599998,48.970001,1677200,48.575888
2016-12-14,50.43,51.150002,49.07,49.240002,1353300,48.843715
2016-12-13,51.450001,51.549999,50.240002,50.560001,1370500,50.153092
2016-12-12,51.150002,52.080002,50.919998,51.029999,1907100,50.619306
2016-12-09,51.119999,51.73,50.950001,51.720001,819300,51.303756
2016-12-08,51.279999,51.459999,50.529999,51.029999,875500,50.619306
2016-12-07,49.700001,51.259998,49.700001,51.060001,1819100,50.649068
2016-12-06,48.580002,49.779999,48.419998,49.75,2117000,49.349609
2016-12-05,50.00,50.00,48.799999,49.00,1362100,48.605645
2016-12-02,49.889999,49.93,49.00,49.419998,1811300,49.022263
2016-12-01,48.130001,50.77,47.810001,49.849998,3446300,49.448803
2016-11-30,45.860001,48.07,45.759998,47.450001,1736600,47.06812
2016-11-29,46.049999,46.049999,44.889999,45.040001,1031100,44.677516
2016-11-28,46.740002,46.849998,46.369999,46.48,1078600,46.105926
2016-11-25,46.790001,46.889999,46.509998,46.889999,397800,46.512626
2016-11-23,46.610001,47.139999,46.52,46.84,1326900,46.463029
2016-11-22,46.73,46.950001,46.48,46.779999,844000,46.403511
2016-11-21,46.369999,47.040001,46.349998,46.599998,858500,46.224959
2016-11-18,45.669998,46.09,45.610001,45.98,1314200,45.60995
2016-11-17,45.849998,47.02,45.549999,45.740002,943400,45.371884
2016-11-16,45.369999,45.82,45.040001,45.639999,1258100,45.272686
2016-11-15,45.66,45.799999,45.02,45.619999,1288500,45.252847
2016-11-14,46.139999,47.00,45.23,45.669998,1584900,45.302443
2016-11-11,45.860001,46.630001,45.279999,45.830002,1595400,45.461159
2016-11-10,44.599998,46.040001,44.59,45.939999,1827800,45.570271
2016-11-09,41.630001,44.549999,41.630001,44.189999,1724500,43.834355
2016-11-08,41.900002,42.290001,41.529999,41.860001,1486700,41.523109
2016-11-07,42.240002,42.580002,41.650002,42.040001,1211900,41.701661
2016-11-04,41.630001,41.919998,41.029999,41.349998,1435700,41.017211
2016-11-03,41.759998,41.959999,41.349998,41.68,926700,41.344557
2016-11-02,41.84,41.98,41.389999,41.59,1732100,41.255281
2016-11-01,42.610001,42.610001,41.529999,42.110001,1667800,41.771097
2016-10-31,42.43,43.049999,42.169998,42.349998,1613300,42.009163
2016-10-28,39.369999,42.98,39.130001,42.209999,3464400,41.870291
2016-10-27,44.099998,44.130001,43.310001,43.509998,1662600,43.159827
2016-10-26,42.91,44.220001,42.900002,43.759998,1167900,43.407815
2016-10-25,43.459999,43.470001,42.860001,43.189999,1294000,42.842403
2016-10-24,43.830002,44.119999,43.290001,43.470001,839700,43.120152
2016-10-21,43.099998,43.880001,42.66,43.599998,1013200,43.249103
2016-10-20,44.080002,44.790001,43.419998,43.73,1358700,43.378058
2016-10-19,43.189999,45.040001,42.970001,44.450001,2442300,44.092265
2016-10-18,42.98,43.290001,42.41,42.93,1953300,42.584497
2016-10-17,43.48,43.560001,43.07,43.110001,1206900,42.763049
2016-10-14,44.049999,44.220001,43.02,43.389999,1837600,43.040794
2016-10-13,43.990002,44.009998,43.360001,43.689999,1958100,43.338379
2016-10-12,44.860001,45.119999,44.540001,44.57,946600,44.211298
2016-10-11,46.200001,46.200001,44.799999,45.00,1137400,44.637837
2016-10-10,47.00,47.00,46.099998,46.299999,942100,45.927374
2016-10-07,47.779999,47.779999,46.419998,46.75,726000,46.373753
2016-10-06,48.150002,48.150002,47.43,47.880001,857900,47.49466
2016-10-05,48.200001,48.810001,48.099998,48.240002,1466300,47.851763
2016-10-04,48.75,48.75,47.50,47.720001,746700,47.335948
2016-10-03,47.959999,48.57,47.669998,48.189999,909200,47.802163
2016-09-30,47.639999,48.490002,47.59,48.240002,1668000,47.851763
2016-09-29,47.169998,47.919998,46.98,47.330002,1841800,46.949087
2016-09-28,45.84,47.259998,45.75,47.200001,1023000,46.820132
2016-09-27,45.00,45.880001,44.73,45.82,1371100,45.262768
2016-09-26,46.169998,46.169998,45.41,45.450001,1158600,44.897269
2016-09-23,47.799999,47.869999,46.16,46.18,1308200,45.618391
2016-09-22,47.740002,48.27,47.689999,48.169998,439900,47.584188
2016-09-21,46.689999,47.189999,46.50,47.119999,756300,46.546958
2016-09-20,47.290001,47.599998,46.43,46.439999,688200,45.875227
2016-09-19,47.00,47.540001,46.970001,47.27,781800,46.695135
2016-09-16,46.299999,46.740002,45.880001,46.66,1047200,46.092553
2016-09-15,46.110001,46.93,45.970001,46.77,498300,46.201216
