Date,Open,High,Low,Close,Volume,Adj Close
2017-03-24,30.84,31.190001,30.639999,30.879999,2482100,30.879999
2017-03-23,30.40,30.950001,30.27,30.75,3010300,30.75
2017-03-22,30.17,30.530001,30.02,30.42,2250600,30.42
2017-03-21,30.23,30.33,30.02,30.09,2703300,30.09
2017-03-20,30.27,30.459999,30.059999,30.09,1010700,30.09
2017-03-17,30.41,30.48,30.059999,30.27,3243100,30.27
2017-03-16,30.25,30.299999,30.00,30.200001,2141800,30.200001
2017-03-15,30.049999,30.43,29.92,30.32,2329100,30.32
2017-03-14,29.879999,30.040001,29.780001,29.92,1254600,29.92
2017-03-13,29.950001,30.049999,29.85,29.950001,1585900,29.950001
2017-03-10,30.27,30.40,29.83,29.959999,3589000,29.779999
2017-03-09,30.00,30.360001,30.00,30.26,3041300,30.078197
2017-03-08,30.09,30.16,29.879999,29.98,2258000,29.799879
2017-03-07,30.02,30.209999,29.77,30.110001,2752300,29.929099
2017-03-06,29.889999,30.48,29.780001,30.200001,2573700,30.018558
2017-03-03,29.709999,29.99,29.49,29.950001,1888100,29.77006
2017-03-02,29.77,29.860001,29.51,29.709999,2360500,29.531501
2017-03-01,29.51,30.08,29.51,29.860001,3895200,29.680601
2017-02-28,29.959999,29.98,29.33,29.35,5615100,29.173665
2017-02-27,30.09,30.280001,29.780001,30.01,2232300,29.829699
2017-02-24,30.16,30.24,29.93,30.23,2689600,30.048377
2017-02-23,30.16,30.32,29.790001,30.00,2605000,29.819759
2017-02-22,29.969999,30.23,29.959999,30.15,1681600,29.968858
2017-02-21,29.950001,30.280001,29.780001,30.059999,2644900,29.879398
2017-02-17,30.049999,30.120001,29.75,29.92,2438200,29.74024
2017-02-16,30.309999,30.309999,29.950001,30.08,1984000,29.899278
2017-02-15,29.799999,30.33,29.77,30.33,2194100,30.147776
2017-02-14,29.50,30.08,29.35,30.02,2676000,29.839639
2017-02-13,29.85,29.860001,29.26,29.48,3461100,29.302883
2017-02-10,29.799999,29.85,29.530001,29.65,3052000,29.471862
2017-02-09,29.950001,30.10,29.639999,29.709999,1932500,29.531501
2017-02-08,30.08,30.190001,29.58,29.82,3864300,29.64084
2017-02-07,30.450001,31.08,29.799999,30.16,5893200,29.978798
2017-02-06,30.940001,31.120001,30.690001,30.719999,2339500,30.535433
2017-02-03,31.299999,31.299999,30.870001,31.09,1658200,30.903211
2017-02-02,31.209999,31.23,30.940001,31.16,1929100,30.97279
2017-02-01,31.030001,31.299999,30.940001,31.24,2918300,31.052309
2017-01-31,30.83,31.08,30.65,31.01,2274200,30.823691
2017-01-30,30.83,30.99,30.530001,30.98,2027300,30.793871
2017-01-27,30.700001,30.959999,30.42,30.85,1815100,30.664653
2017-01-26,29.85,30.969999,29.82,30.59,3083000,30.406215
2017-01-25,29.889999,29.98,29.719999,29.799999,1786400,29.62096
2017-01-24,29.610001,29.809999,29.379999,29.790001,1667900,29.611022
2017-01-23,29.49,29.610001,29.25,29.51,1523400,29.332703
2017-01-20,29.40,29.549999,29.16,29.549999,2532300,29.372462
2017-01-19,29.52,29.610001,29.08,29.209999,2026400,29.034505
2017-01-18,29.32,29.559999,29.200001,29.52,1983400,29.342643
2017-01-17,29.139999,29.34,29.10,29.25,1804800,29.074265
2017-01-13,29.02,29.309999,28.92,29.25,1912900,29.074265
2017-01-12,29.34,29.41,28.969999,29.08,3124000,28.905286
2017-01-11,28.889999,29.450001,28.82,29.440001,3484200,29.263124
2017-01-10,28.709999,29.290001,28.559999,28.92,2829200,28.746248
2017-01-09,28.799999,28.889999,28.549999,28.77,1827300,28.597149
2017-01-06,28.40,28.889999,28.209999,28.85,2005100,28.676669
2017-01-05,28.129999,28.43,27.90,28.34,4393700,28.169733
2017-01-04,28.00,28.379999,28.00,28.25,2741000,28.080273
2017-01-03,27.74,28.15,27.540001,28.00,2937900,27.831775
2016-12-30,27.50,27.52,27.08,27.25,2885000,27.086281
2016-12-29,27.65,27.809999,27.440001,27.48,1249300,27.314899
2016-12-28,27.90,27.940001,27.65,27.66,2014300,27.493818
2016-12-27,27.82,27.99,27.690001,27.84,1284500,27.672737
2016-12-23,27.780001,27.799999,27.57,27.700001,1382800,27.533578
2016-12-22,27.60,27.799999,27.50,27.75,3776500,27.583277
2016-12-21,27.620001,27.75,27.469999,27.74,3436500,27.573337
2016-12-20,27.65,27.92,27.51,27.59,2780300,27.424239
2016-12-19,27.809999,27.90,27.540001,27.629999,2557200,27.463997
2016-12-16,27.450001,28.08,27.309999,27.73,10140500,27.563397
2016-12-15,27.68,27.799999,27.219999,27.389999,6104100,27.225439
2016-12-14,26.940001,27.84,26.92,27.59,8526700,27.424239
2016-12-13,26.27,26.91,26.23,26.90,5312000,26.738384
2016-12-12,27.74,27.780001,25.940001,26.190001,7466000,26.03265
2016-12-09,28.540001,29.629999,27.42,27.92,13266700,27.752256
2016-12-08,28.01,28.49,27.98,28.48,2824600,28.308891
2016-12-07,27.219999,27.969999,27.219999,27.950001,4722200,27.782076
2016-12-06,27.50,27.629999,27.190001,27.370001,4177000,27.205561
2016-12-05,27.49,27.57,26.82,27.530001,3649000,27.3646
2016-12-02,28.129999,28.190001,27.209999,27.370001,2858400,27.205561
2016-12-01,28.01,28.27,27.889999,28.08,4193700,27.911294
2016-11-30,28.32,28.440001,27.99,28.059999,5196700,27.891414
2016-11-29,28.290001,28.42,28.129999,28.360001,3465600,28.189613
2016-11-28,28.16,28.309999,27.99,28.190001,3241600,28.020634
2016-11-25,28.209999,28.299999,28.129999,28.26,1991100,28.090213
2016-11-23,28.15,28.360001,28.030001,28.280001,3264600,28.110094
2016-11-22,27.83,28.190001,27.68,28.139999,2923200,27.970933
2016-11-21,27.73,27.75,27.540001,27.73,2215500,27.563397
2016-11-18,27.74,27.91,27.65,27.690001,3242400,27.523638
2016-11-17,27.360001,27.809999,27.309999,27.809999,2340200,27.642916
2016-11-16,27.389999,27.549999,27.280001,27.49,2415800,27.324839
2016-11-15,27.299999,27.48,27.209999,27.40,3858100,27.23538
2016-11-14,27.08,27.379999,26.99,27.33,5015300,27.1658
2016-11-11,27.110001,27.139999,26.700001,27.00,3689400,26.837783
2016-11-10,27.35,27.639999,26.99,27.16,4615400,26.996822
2016-11-09,26.40,27.459999,26.299999,27.33,6291700,27.1658
2016-11-08,27.219999,27.299999,26.84,27.08,4453400,26.917302
2016-11-07,27.17,27.219999,26.860001,27.190001,4168200,27.026642
2016-11-04,27.219999,27.469999,26.66,26.690001,8693500,26.529646
2016-11-03,26.700001,27.700001,26.66,27.530001,10103000,27.3646
2016-11-02,26.209999,26.23,25.700001,25.75,6825700,25.595293
2016-11-01,26.41,26.41,25.99,26.190001,7137000,26.03265
2016-10-31,26.299999,26.50,26.24,26.389999,4552100,26.231448
2016-10-28,26.209999,26.42,26.139999,26.24,3112900,26.082349
2016-10-27,26.57,26.610001,26.120001,26.24,2359400,26.082349
2016-10-26,25.709999,26.58,25.610001,26.52,3107200,26.360668
2016-10-25,25.68,25.84,25.60,25.709999,1939000,25.555533
2016-10-24,26.120001,26.27,25.48,25.67,3235200,25.515774
2016-10-21,25.23,26.15,25.110001,25.91,4106300,25.754332
2016-10-20,25.18,25.49,25.040001,25.360001,8614900,25.207637
2016-10-19,25.18,25.57,25.10,25.32,2972600,25.167876
2016-10-18,25.02,25.219999,24.92,25.07,2540600,24.919378
2016-10-17,24.85,24.959999,24.77,24.790001,4319800,24.641062
2016-10-14,24.809999,25.040001,24.74,24.860001,4783600,24.710641
2016-10-13,24.540001,24.84,24.41,24.76,2852900,24.611241
2016-10-12,24.77,24.90,24.639999,24.76,2708500,24.611241
2016-10-11,25.030001,25.08,24.719999,24.83,3133800,24.680821
2016-10-10,24.75,25.08,24.75,25.01,1309700,24.859739
2016-10-07,25.209999,25.77,24.559999,24.68,1830300,24.531722
2016-10-06,24.92,25.110001,24.74,24.91,1755000,24.76034
2016-10-05,25.27,25.32,25.01,25.01,2261500,24.859739
2016-10-04,25.129999,25.440001,25.01,25.15,2533500,24.998898
2016-10-03,24.690001,25.25,24.610001,25.17,2549800,25.018778
2016-09-30,24.75,24.969999,24.65,24.74,3193700,24.591361
