Date,Open,High,Low,Close,Volume,Adj Close
2017-03-24,46.32,46.48,45.790001,46.040001,773400,46.040001
2017-03-23,46.200001,46.759998,46.09,46.34,483200,46.34
2017-03-22,46.279999,46.41,46.009998,46.23,954600,46.23
2017-03-21,47.110001,47.119999,46.32,46.470001,993700,46.470001
2017-03-20,47.119999,47.209999,46.75,46.880001,480200,46.880001
2017-03-17,47.419998,47.43,46.990002,47.209999,994600,47.209999
2017-03-16,47.580002,47.75,47.299999,47.369999,530400,47.369999
2017-03-15,47.240002,47.630001,47.07,47.540001,928800,47.540001
2017-03-14,46.970001,47.299999,46.75,47.200001,692400,47.200001
2017-03-13,47.139999,47.279999,47.040001,47.150002,836200,47.150002
2017-03-10,47.43,47.43,47.009998,47.200001,608500,47.200001
2017-03-09,47.32,47.52,47.00,47.139999,853700,47.139999
2017-03-08,47.639999,47.73,47.240002,47.259998,730300,47.259998
2017-03-07,47.470001,47.57,47.27,47.450001,611400,47.450001
2017-03-06,47.509998,47.700001,47.299999,47.509998,593100,47.509998
2017-03-03,47.310001,47.790001,47.169998,47.68,820200,47.68
2017-03-02,47.880001,47.880001,47.209999,47.25,741600,47.25
2017-03-01,47.700001,47.869999,47.419998,47.82,1224800,47.82
2017-02-28,46.98,47.189999,46.91,46.98,1068700,46.98
2017-02-27,47.23,47.290001,47.009998,47.080002,624400,47.080002
2017-02-24,47.220001,47.34,47.009998,47.23,620300,47.167
2017-02-23,47.220001,47.43,47.009998,47.419998,712700,47.356745
2017-02-22,46.93,47.220001,46.91,47.119999,784000,47.057146
2017-02-21,46.98,47.34,46.970001,47.119999,766900,47.057146
2017-02-17,46.91,47.00,46.57,46.98,996800,46.917333
2017-02-16,47.360001,47.369999,46.970001,47.049999,1425000,46.98724
2017-02-15,46.82,47.25,46.709999,47.25,771900,47.186974
2017-02-14,46.830002,47.16,46.669998,46.959999,820100,46.89736
2017-02-13,46.419998,46.869999,46.279999,46.810001,890700,46.747562
2017-02-10,46.50,46.560001,46.299999,46.48,820300,46.418
