Date,Open,High,Low,Close,Volume,Adj Close
2017-03-24,14.32,14.38,14.01,14.23,14827500,14.23
2017-03-23,14.12,14.54,14.06,14.23,17970600,14.23
2017-03-22,14.01,14.31,13.73,14.18,23666300,14.18
2017-03-21,14.97,15.02,14.00,14.10,27069600,14.10
2017-03-20,14.98,15.09,14.84,14.88,15363100,14.88
2017-03-17,15.05,15.11,14.80,15.05,34214500,15.05
2017-03-16,15.11,15.24,14.99,15.05,17126100,15.05
2017-03-15,15.19,15.35,14.93,15.00,26252400,15.00
2017-03-14,15.02,15.10,14.75,15.09,11580200,15.09
2017-03-13,15.18,15.22,14.99,15.12,8632600,15.12
2017-03-10,15.30,15.33,14.89,15.13,13747100,15.13
2017-03-09,15.25,15.46,15.13,15.20,11940300,15.20
2017-03-08,15.46,15.56,15.18,15.21,15975300,15.21
2017-03-07,15.23,15.37,15.12,15.25,11551900,15.185
2017-03-06,15.22,15.29,15.06,15.23,13541100,15.165085
2017-03-03,15.35,15.50,15.31,15.36,17478400,15.294531
2017-03-02,16.01,16.030001,15.31,15.32,19305600,15.254702
2017-03-01,15.61,16.01,15.60,15.91,21595000,15.842187
2017-02-28,15.25,15.30,15.12,15.27,13345900,15.204916
2017-02-27,15.23,15.36,15.17,15.31,9942200,15.244745
2017-02-24,15.16,15.30,15.07,15.20,15315600,15.135213
2017-02-23,15.34,15.38,15.07,15.34,15193600,15.274617
2017-02-22,15.29,15.46,15.27,15.32,13662400,15.254702
2017-02-21,15.50,15.57,15.33,15.43,11857800,15.364234
2017-02-17,15.38,15.41,15.21,15.38,11504400,15.314446
2017-02-16,15.62,15.62,15.32,15.59,19147600,15.523551
2017-02-15,15.65,15.66,15.35,15.56,14434700,15.49368
2017-02-14,15.16,15.57,15.11,15.49,12495400,15.423977
2017-02-13,15.12,15.34,15.12,15.15,11738900,15.085426
2017-02-10,15.01,15.17,14.91,14.99,17501200,14.926108
2017-02-09,14.49,14.99,14.49,14.99,17083200,14.926108
2017-02-08,14.43,14.51,14.24,14.49,14423800,14.42824
2017-02-07,14.70,14.86,14.56,14.58,16867100,14.517856
2017-02-06,14.52,14.74,14.48,14.63,10411500,14.567643
