Date,Open,High,Low,Close,Volume,Adj Close
2017-03-24,111.629997,112.790001,111.400002,112.470001,932800,112.470001
2017-03-23,112.029999,113.080002,111.190002,111.580002,976700,111.580002
2017-03-22,111.620003,112.57,111.389999,111.940002,1104300,111.940002
2017-03-21,109.650002,111.580002,109.230003,111.260002,1002000,111.260002
2017-03-20,110.910004,111.25,109.800003,110.389999,901500,109.566997
2017-03-17,110.440002,111.510002,110.400002,110.760002,1361400,109.934241
2017-03-16,111.559998,111.559998,109.669998,110.160004,791100,109.338716
2017-03-15,109.660004,111.830002,109.459999,111.230003,916600,110.400738
2017-03-14,109.260002,109.860001,108.849998,109.160004,524400,108.346171
2017-03-13,109.400002,109.919998,109.07,109.760002,645900,108.941696
2017-03-10,108.910004,109.540001,108.339996,109.400002,812100,108.58438
2017-03-09,108.519997,109.389999,107.889999,108.050003,756200,107.244446
2017-03-08,109.290001,109.760002,108.260002,108.440002,858700,107.631538
2017-03-07,109.790001,111.019997,109.519997,110.580002,1122700,109.755583
2017-03-06,108.940002,109.959999,108.629997,109.940002,1033500,109.120355
2017-03-03,109.82,109.82,108.339996,109.230003,771100,108.415649
2017-03-02,109.279999,110.279999,108.959999,109.75,1152400,108.931769
2017-03-01,109.860001,110.650002,108.730003,109.650002,1182600,108.832516
2017-02-28,109.110001,110.949997,108.669998,110.290001,2057900,109.467744
2017-02-27,109.089996,109.099998,108.330002,108.809998,879600,107.998775
2017-02-24,108.370003,109.330002,108.370003,109.089996,1082800,108.276686
2017-02-23,107.629997,109.120003,107.32,108.510002,921000,107.701016
2017-02-22,106.629997,107.57,106.209999,107.150002,637300,106.351154
2017-02-21,105.620003,106.720001,105.300003,106.480003,777600,105.686151
2017-02-17,105.910004,106.139999,104.879997,105.849998,893700,105.060843
2017-02-16,104.550003,105.919998,104.449997,105.900002,662100,105.110474
2017-02-15,103.339996,104.370003,103.190002,104.32,690800,103.542251
2017-02-14,104.760002,105.169998,103.809998,104.330002,576700,103.552179
2017-02-13,104.389999,105.220001,104.290001,105.160004,538300,104.375993
2017-02-10,103.349998,104.519997,103.349998,104.349998,632200,103.572027
2017-02-09,104.279999,104.639999,103.50,103.650002,751100,102.877248
2017-02-08,102.50,104.43,102.50,104.209999,795800,103.433071
2017-02-07,102.650002,102.959999,102.089996,102.550003,533300,101.785451
2017-02-06,103.00,103.279999,101.959999,102.599998,461900,101.835074
2017-02-03,102.970001,103.230003,102.639999,102.790001,571800,102.023659
2017-02-02,101.589996,102.760002,100.800003,102.720001,637000,101.954182
2017-02-01,101.589996,102.220001,100.790001,101.419998,681000,100.663871
2017-01-31,100.93,102.510002,100.639999,102.389999,947600,101.62664
2017-01-30,101.779999,101.779999,99.709999,100.82,1151600,100.068345
2017-01-27,102.580002,102.589996,101.120003,101.440002,576100,100.683726
2017-01-26,102.389999,103.010002,101.599998,102.279999,845400,101.51746
2017-01-25,102.650002,102.690002,101.589996,102.57,1013400,101.805298
2017-01-24,102.099998,102.889999,101.870003,102.669998,1228900,101.904551
2017-01-23,102.620003,103.480003,101.980003,102.199997,1207700,101.438054
2017-01-20,102.220001,102.949997,101.599998,102.440002,789900,101.67627
2017-01-19,103.620003,103.620003,101.769997,102.080002,740200,101.318954
2017-01-18,103.50,104.25,103.410004,103.779999,1015400,103.006276
2017-01-17,101.989998,103.480003,101.68,103.400002,771700,102.629112
2017-01-13,101.589996,102.330002,101.169998,101.769997,636000,101.01126
2017-01-12,102.139999,102.900002,101.279999,101.839996,806800,101.080738
2017-01-11,100.919998,102.519997,100.800003,102.129997,1469200,101.368576
2017-01-10,101.040001,101.699997,100.089996,101.059998,929300,100.306554
2017-01-09,102.93,103.629997,101.279999,101.379997,1005100,100.624168
2017-01-06,101.449997,103.160004,101.209999,102.919998,934600,102.152688
2017-01-05,102.00,102.260002,100.120003,101.760002,2008100,101.00134
2017-01-04,101.389999,103.139999,101.169998,102.00,1389100,101.239548
2017-01-03,100.93,101.260002,99.849998,101.129997,1113200,100.376032
2016-12-30,100.949997,101.269997,100.349998,100.639999,939800,99.889687
