Date,Open,High,Low,Close,Volume,Adj Close
2017-03-24,39.950001,40.290001,39.73,39.830002,1130900,39.830002
2017-03-23,40.049999,40.400002,39.919998,39.950001,1137800,39.950001
2017-03-22,39.900002,40.200001,39.68,40.110001,1115400,40.110001
2017-03-21,40.470001,40.470001,39.889999,39.919998,1519600,39.919998
2017-03-20,40.169998,40.34,39.959999,40.279999,1100700,40.279999
2017-03-17,39.950001,40.419998,39.82,40.209999,2613700,40.209999
2017-03-16,40.150002,40.34,39.75,39.939999,1477400,39.939999
2017-03-15,40.16,40.34,39.990002,40.130001,1016300,40.130001
2017-03-14,39.84,40.27,39.720001,40.139999,1263000,40.139999
2017-03-13,40.150002,40.189999,39.650002,39.849998,2113900,39.849998
2017-03-10,40.419998,40.560001,40.18,40.450001,1051500,40.230001
2017-03-09,40.349998,40.610001,40.299999,40.34,1348400,40.120599
2017-03-08,40.279999,40.450001,40.060001,40.32,1178100,40.100707
2017-03-07,39.889999,40.220001,39.779999,40.130001,1323800,39.911742
2017-03-06,40.099998,40.209999,39.779999,39.900002,1844900,39.682993
2017-03-03,40.59,40.59,40.18,40.360001,1605400,40.14049
2017-03-02,41.00,41.07,40.549999,40.610001,1375300,40.389131
2017-03-01,41.23,41.389999,40.75,41.119999,2012500,40.896355
2017-02-28,40.360001,40.830002,40.330002,40.490002,1966700,40.269784
2017-02-27,40.560001,41.00,40.389999,40.639999,1881000,40.418966
2017-02-24,40.970001,41.240002,40.830002,41.119999,1199800,40.896355
2017-02-23,41.299999,41.369999,41.09,41.130001,1025800,40.906303
2017-02-22,40.970001,41.220001,40.82,41.189999,1394600,40.965974
2017-02-21,40.810001,41.110001,40.720001,40.950001,1691600,40.727282
2017-02-17,40.419998,40.959999,40.400002,40.950001,1768000,40.727282
2017-02-16,40.360001,40.68,40.299999,40.639999,1233700,40.418966
2017-02-15,40.25,40.50,40.060001,40.419998,1308200,40.200162
2017-02-14,40.00,40.349998,39.860001,40.259998,1363700,40.041032
2017-02-13,39.900002,40.27,39.740002,40.139999,1362600,39.921686
2017-02-10,39.52,39.900002,39.459999,39.849998,1196900,39.633262
2017-02-09,39.16,39.580002,39.16,39.459999,1440000,39.245384
2017-02-08,38.860001,39.209999,38.68,39.16,1244300,38.947016
2017-02-07,39.02,39.380001,38.900002,38.939999,1979400,38.728212
2017-02-06,38.27,39.07,38.25,38.919998,1795100,38.70832
2017-02-03,39.32,39.459999,37.98,38.650002,4168500,38.439792
2017-02-02,38.689999,39.740002,38.59,38.939999,3417400,38.728212
2017-02-01,37.34,38.07,37.34,37.93,1974500,37.723706
2017-01-31,37.439999,37.57,37.220001,37.57,3066500,37.365664
2017-01-30,37.84,37.84,37.279999,37.419998,1694900,37.216478
2017-01-27,37.990002,38.009998,37.740002,37.810001,770600,37.60436
2017-01-26,37.959999,38.099998,37.799999,37.970001,1036100,37.76349
2017-01-25,37.970001,38.09,37.790001,37.919998,1737000,37.713759
2017-01-24,37.400002,37.84,37.389999,37.740002,1070100,37.534741
2017-01-23,37.310001,37.389999,37.150002,37.310001,1064800,37.10708
2017-01-20,37.450001,37.580002,37.189999,37.259998,1111400,37.057348
2017-01-19,37.48,37.59,37.150002,37.330002,1161100,37.126971
2017-01-18,37.290001,37.549999,37.130001,37.419998,1526500,37.216478
2017-01-17,37.049999,37.419998,36.939999,37.09,1778300,36.888275
2017-01-13,37.02,37.459999,37.00,37.259998,1643200,37.057348
2017-01-12,36.700001,36.990002,36.509998,36.919998,1089800,36.719198
2017-01-11,36.91,37.029999,36.650002,36.900002,1414700,36.69931
2017-01-10,36.529999,37.200001,36.50,36.939999,1771900,36.739089
2017-01-09,37.27,37.299999,36.75,36.759998,1414300,36.560068
2017-01-06,37.41,37.509998,37.299999,37.389999,1214800,37.186642
2017-01-05,37.830002,37.919998,37.330002,37.43,1210500,37.226426
2017-01-04,37.919998,38.080002,37.799999,37.860001,1600700,37.654087
2017-01-03,37.459999,37.779999,37.349998,37.73,1867300,37.524793
2016-12-30,37.360001,37.419998,37.060001,37.259998,962200,37.057348
2016-12-29,37.700001,37.77,37.259998,37.259998,836200,37.057348
2016-12-28,38.07,38.07,37.599998,37.700001,1103700,37.494958
2016-12-27,38.25,38.25,37.900002,38.029999,1347300,37.823161
2016-12-23,37.68,38.009998,37.549999,37.990002,1428700,37.783381
2016-12-22,37.509998,37.709999,37.360001,37.669998,1639100,37.465118
2016-12-21,37.279999,37.689999,36.990002,37.529999,1773300,37.32588
2016-12-20,37.130001,37.290001,36.959999,37.279999,1821100,37.07724
2016-12-19,36.540001,37.189999,36.400002,37.07,2755400,36.868383
2016-12-16,36.279999,36.599998,36.09,36.41,5598600,36.211973
2016-12-15,36.389999,36.77,36.240002,36.439999,2022700,36.241809
2016-12-14,37.130001,37.299999,36.389999,36.419998,2164000,36.221917
2016-12-13,37.50,37.650002,37.16,37.220001,1609900,37.017569
2016-12-12,37.119999,37.50,36.709999,37.439999,2032200,37.037456
2016-12-09,36.700001,37.07,36.470001,37.049999,1731500,36.65165
2016-12-08,36.490002,36.830002,36.439999,36.709999,3219100,36.315305
2016-12-07,36.34,36.580002,36.290001,36.400002,1827800,36.008641
2016-12-06,36.290001,36.400002,36.099998,36.18,1876900,35.791005
2016-12-05,36.330002,36.349998,36.060001,36.200001,1671700,35.81079
2016-12-02,35.869999,36.25,35.77,36.099998,1700200,35.711863
2016-12-01,36.310001,36.450001,35.700001,35.869999,3146500,35.484337
2016-11-30,36.82,36.889999,36.130001,36.130001,2626400,35.741543
2016-11-29,37.09,37.09,36.470001,36.490002,1957500,36.097673
2016-11-28,37.119999,37.25,36.900002,36.990002,1818800,36.592298
2016-11-25,37.00,37.32,36.939999,37.32,597900,36.918748
2016-11-23,37.09,37.119999,36.810001,37.009998,1210600,36.612079
2016-11-22,37.310001,37.360001,36.849998,37.07,2773500,36.671435
2016-11-21,37.389999,37.599998,37.169998,37.360001,1220900,36.958318
2016-11-18,37.25,37.669998,37.169998,37.43,2376500,37.027565
2016-11-17,37.400002,37.720001,37.200001,37.240002,1915900,36.83961
2016-11-16,37.66,37.720001,37.16,37.349998,1744500,36.948424
2016-11-15,38.080002,38.279999,37.700001,37.869999,1991500,37.462833
2016-11-14,38.290001,38.639999,38.09,38.32,3177000,37.907996
2016-11-11,37.91,38.189999,37.720001,38.130001,2868300,37.72004
2016-11-10,37.419998,38.310001,37.299999,38.080002,4275100,37.670578
2016-11-09,36.549999,37.220001,35.970001,37.189999,4424800,36.790144
2016-11-08,35.50,36.360001,35.459999,36.189999,3429300,35.800896
